Game,Developer,Publisher,Type,Score,Raw Text,Processed Tokens,Processed Text,Numeric_Score,Sentiment Score,Sentiment Category,Sentiment_story_narrative,Sentiment_characters_world,Sentiment_visuals_art,Sentiment_audio_music,Sentiment_gameplay_mechanics,Sentiment_controls_camera,Sentiment_difficulty_balance,Sentiment_performance_bugs,Sentiment_ui_qol,Sentiment_content_replay,Sentiment_multiplayer_online,Sentiment_monetization_value
Titan Souls,Acid Nerve,Devolver Digital,User,8.0,"God creates the TitansGod creates manThe Titans destroy GodMan creates the bow and arrowThe Titans destroy manThe chosen one will destroy the Titans (or the joystick)I promised myself that I would recover this title at any cost. The first work from the studio that created the jewel that is Death's Door absolutely had to be played. I wanted to understand how a game like the one released in 2021 was born and to do this the best way is to find out where they started. What can I say with a start like this you can only go high!The Manchester studio began its adventure in the infinite world of video games in 2015, basing its creation on minimalist Pixel Art graphics, on an inspired and varied setting and building everything around a high and ruthless difficulty, with shades of frustration in the air.With a top-down view, a barely mentioned story and a basic tutorial, the player is introduced to the game with a single purpose: to kill the 'Titans'. Majestic, agile and ruthless creatures that populate mini areas scattered here and there around the world.There are no 'simple' enemies, only checkpoints in strategic positions, in order to make recovery after game over simple and many bosses to face.Once you enter the arena the battle begins and there are only two ways to get out: alive, hitting the monster's weak point, or dead, the more probable **** hit is enough to trigger the game over but the same goes for the opponent we will face, with the only obligation that we should hit him in his 'hidden' weak point with the only arrow present in our hero's quiver. That's right, just an arrow which, however, can be thrown and retrieved infinitely either by walking on it or by recalling it with telekinetic powers, taking into account that without a weapon we are effectively harmless and at the mercy of the monster. In a nutshell, the clash with a new creature is divided into two phases: the first of gathering information and modus operandi of the giant in question and the second of implementing the attack plan, carefully designed in one's head, to get the upper hand . Many attempts separate the player from victory, especially with the last ruthless giants, but the goal to be achieved is never too far away, and the satisfaction of seeing the David within us defeat the Goliath of the moment, will manage to tear more than a smile from lips of those who will be able to seize the best moment to strike.David Fenn's first musical works already show the talent and skill of the English singer-songwriter which years later will lead him to create one of my favorite soundtracks, that of Death's door!The staging in this title is obviously still immature, a sort of embryonic version of what will later become a very respectable soundtrack in the subsequent work. But despite this, he does his accompanying work damn well and more than one track will have the ability to carve out a space in the hearts of fans. This is for two reasons: one unconscious, as by repeating a clash infinite times and then listening to the notes continuously the player will end up loving (or hating) the tracks and the other because some music will have the ability to give us a boost in times of need to win the battle.Acid Nerve's inspiration from Fumito Ueda's game Shadow of the Colossus released 10 years earlier is great; a character in a lonely world who must defeat creatures who are even difficult to approach. Of course, the differences on a technical, graphic, setting and duration level bring the two titles to different levels of the global video game scale. The work of Team Ico has entered history and the hearts of fans, something that the first work of the English team will never be able to do. Despite this, I consider the Indie 'game' an experience, which however short, deserves to be lived. Of course it is not a title for those who get discouraged at the first difficulty but only for those, like me, who get excited in the most challenging moments. Let's be clear, nothing is impossible, we just need to get carried away and savor with calm, perseverance and attentive eyes the right moment to launch the arrow into the Titan's 'Achilles' heel'.","['god', 'creates', 'titansgod', 'creates', 'manthe', 'destroy', 'godman', 'creates', 'bow', 'arrowthe', 'destroy', 'manthe', 'chosen', 'one', 'destroy', 'joystick', 'promised', 'would', 'recover', 'title', 'cost', 'first', 'work', 'studio', 'created', 'jewel', 'death', 'door', 'absolutely', 'played', 'wanted', 'understand', 'game', 'like', 'one', 'released', 'born', 'best', 'way', 'find', 'started', 'say', 'start', 'like', 'go', 'high', 'manchester', 'studio', 'began', 'adventure', 'infinite', 'world', 'video', 'game', 'basing', 'creation', 'minimalist', 'pixel', 'art', 'graphic', 'inspired', 'varied', 'setting', 'building', 'everything', 'around', 'high', 'ruthless', 'difficulty', 'shade', 'frustration', 'view', 'barely', 'mentioned', 'story', 'basic', 'tutorial', 'player', 'introduced', 'game', 'single', 'purpose', 'kill', 'majestic', 'agile', 'ruthless', 'creature', 'populate', 'mini', 'area', 'scattered', 'around', 'enemy', 'checkpoint', 'strategic', 'position', 'order', 'make', 'recovery', 'game', 'simple', 'many', 'boss', 'enter', 'arena', 'battle', 'begin', 'two', 'way', 'get', 'alive', 'hitting', 'monster', 'weak', 'point', 'dead', 'probable', 'hit', 'enough', 'trigger', 'game', 'go', 'opponent', 'face', 'obligation', 'hit', 'weak', 'point', 'arrow', 'present', 'hero', 'quiver', 'right', 'arrow', 'however', 'thrown', 'retrieved', 'infinitely', 'either', 'walking', 'recalling', 'telekinetic', 'power', 'taking', 'account', 'without', 'weapon', 'effectively', 'harmless', 'mercy', 'monster', 'nutshell', 'clash', 'new', 'creature', 'divided', 'two', 'phase', 'first', 'gathering', 'information', 'modus', 'operandi', 'giant', 'question', 'second', 'implementing', 'attack', 'plan', 'carefully', 'designed', 'one', 'head', 'get', 'upper', 'hand', 'many', 'attempt', 'separate', 'player', 'victory', 'especially', 'last', 'ruthless', 'giant', 'goal', 'achieved', 'never', 'far', 'away', 'satisfaction', 'seeing', 'david', 'within', 'u', 'defeat', 'goliath', 'moment', 'manage', 'tear', 'smile', 'lip', 'able', 'seize', 'best', 'moment', 'fenn', 'first', 'musical', 'work', 'already', 'show', 'talent', 'skill', 'english', 'year', 'later', 'lead', 'create', 'one', 'favorite', 'soundtrack', 'death', 'door', 'staging', 'title', 'obviously', 'still', 'immature', 'sort', 'embryonic', 'version', 'later', 'become', 'respectable', 'soundtrack', 'subsequent', 'work', 'despite', 'accompanying', 'work', 'damn', 'well', 'one', 'track', 'ability', 'carve', 'space', 'heart', 'fan', 'two', 'reason', 'one', 'unconscious', 'repeating', 'clash', 'infinite', 'time', 'listening', 'note', 'continuously', 'player', 'end', 'loving', 'hating', 'track', 'music', 'ability', 'give', 'u', 'boost', 'time', 'need', 'win', 'nerve', 'inspiration', 'fumito', 'ueda', 'game', 'shadow', 'colossus', 'released', 'year', 'earlier', 'great', 'character', 'lonely', 'world', 'must', 'defeat', 'creature', 'even', 'difficult', 'approach', 'course', 'difference', 'technical', 'graphic', 'setting', 'duration', 'level', 'bring', 'two', 'title', 'different', 'level', 'global', 'video', 'game', 'scale', 'work', 'team', 'ico', 'entered', 'history', 'heart', 'fan', 'something', 'first', 'work', 'english', 'team', 'never', 'able', 'despite', 'consider', 'indie', 'experience', 'however', 'short', 'deserves', 'lived', 'course', 'title', 'get', 'discouraged', 'first', 'difficulty', 'like', 'get', 'excited', 'challenging', 'moment', 'let', 'clear', 'nothing', 'impossible', 'need', 'get', 'carried', 'away', 'savor', 'calm', 'perseverance', 'attentive', 'eye', 'right', 'moment', 'launch', 'arrow', 'heel']",god creates titansgod creates manthe destroy godman creates bow arrowthe destroy manthe chosen one destroy joystick promised would recover title cost first work studio created jewel death door absolutely played wanted understand game like one released born best way find started say start like go high manchester studio began adventure infinite world video game basing creation minimalist pixel art graphic inspired varied setting building everything around high ruthless difficulty shade frustration view barely mentioned story basic tutorial player introduced game single purpose kill majestic agile ruthless creature populate mini area scattered around enemy checkpoint strategic position order make recovery game simple many boss enter arena battle begin two way get alive hitting monster weak point dead probable hit enough trigger game go opponent face obligation hit weak point arrow present hero quiver right arrow however thrown retrieved infinitely either walking recalling telekinetic power taking account without weapon effectively harmless mercy monster nutshell clash new creature divided two phase first gathering information modus operandi giant question second implementing attack plan carefully designed one head get upper hand many attempt separate player victory especially last ruthless giant goal achieved never far away satisfaction seeing david within u defeat goliath moment manage tear smile lip able seize best moment fenn first musical work already show talent skill english year later lead create one favorite soundtrack death door staging title obviously still immature sort embryonic version later become respectable soundtrack subsequent work despite accompanying work damn well one track ability carve space heart fan two reason one unconscious repeating clash infinite time listening note continuously player end loving hating track music ability give u boost time need win nerve inspiration fumito ueda game shadow colossus released year earlier great character lonely world must defeat creature even difficult approach course difference technical graphic setting duration level bring two title different level global video game scale work team ico entered history heart fan something first work english team never able despite consider indie experience however short deserves lived course title get discouraged first difficulty like get excited challenging moment let clear nothing impossible need get carried away savor calm perseverance attentive eye right moment launch arrow heel,8.0,0.9974,Positive,0.1901,0.160425,0.4518142857142857,0.5624,0.07395,-0.3818,0.38876,,-0.1503,0.19063333333333332,,
Moonlighter,Digital Sun,"11 bit studios, Merge Games, Teyon",Critic,80.0,"Like all the finest indie titles, Moonlighter has such a simple premise but is done so masterfully it becomes fantastically addictive - from the basic combat, to the Resident Evil style bag management, to upgrading the shop, to selling the goods; every aspect feels great. Combine this with the charming old-school art and you have got a clear winner on your hands. The only real negative is how short the game is and how the story feels a little lightweight. Moonlighter also feels like it would be even better on Switch, so keep an eye out for Cubed3's review of that version soon!","['like', 'finest', 'indie', 'title', 'simple', 'premise', 'done', 'masterfully', 'becomes', 'fantastically', 'addictive', 'basic', 'combat', 'resident', 'evil', 'style', 'bag', 'management', 'upgrading', 'shop', 'selling', 'good', 'every', 'aspect', 'feel', 'great', 'combine', 'charming', 'art', 'got', 'clear', 'winner', 'hand', 'real', 'negative', 'short', 'game', 'story', 'feel', 'little', 'lightweight', 'also', 'feel', 'like', 'would', 'even', 'better', 'switch', 'keep', 'eye', 'review', 'version', 'soon']",like finest indie title simple premise done masterfully becomes fantastically addictive basic combat resident evil style bag management upgrading shop selling good every aspect feel great combine charming art got clear winner hand real negative short game story feel little lightweight also feel like would even better switch keep eye review version soon,80.0,0.9548,Positive,-0.5719,,0.47895000000000004,,0.0772,,0.0772,,,-0.5719,,
Moonlighter,Digital Sun,"11 bit studios, Merge Games, Teyon",Critic,85.0,"Though it comes with some bugs, ample load times when entering or leaving a dungeon, and an English localization that shows some evidence of the developer's Spanish roots, Moonlighter presents well. While some may shy away from the repetitive formula, I am certain fans of the roguelike genre will find a lot to play with in Moonlighter. That being said, the scant story is not so demanding that players need commit fully to it in one continuous playthrough. Thus, Digital Sun has developed Moonlighter into something that feels as timeless as its role models and will welcome back players delve after delve. ","['though', 'come', 'bug', 'ample', 'load', 'time', 'entering', 'leaving', 'dungeon', 'english', 'localization', 'show', 'evidence', 'developer', 'spanish', 'root', 'present', 'well', 'may', 'shy', 'away', 'repetitive', 'formula', 'certain', 'fan', 'roguelike', 'genre', 'find', 'lot', 'play', 'said', 'scant', 'story', 'demanding', 'player', 'need', 'commit', 'fully', 'one', 'continuous', 'playthrough', 'thus', 'digital', 'sun', 'developed', 'something', 'feel', 'timeless', 'role', 'model', 'welcome', 'back', 'player', 'delve', 'delve']",though come bug ample load time entering leaving dungeon english localization show evidence developer spanish root present well may shy away repetitive formula certain fan roguelike genre find lot play said scant story demanding player need commit fully one continuous playthrough thus digital sun developed something feel timeless role model welcome back player delve delve,85.0,0.6128,Positive,0.5112,0.366,0.4588,,,,0.366,0.2732,,0.4588,,
Moonlighter,Digital Sun,"11 bit studios, Merge Games, Teyon",Critic,90.0,"Moonlighter is an exciting action adventure-shop simulator game that shouldn’t be skipped. If you have any interest in running a shop and dungeon diving, then this game is for you.","['exciting', 'action', 'simulator', 'game', 'skipped', 'interest', 'running', 'shop', 'dungeon', 'diving', 'game']",exciting action simulator game skipped interest running shop dungeon diving game,90.0,0.7579,Positive,,0.5106,,,,,0.5022500000000001,,,,,
Moonlighter,Digital Sun,"11 bit studios, Merge Games, Teyon",User,8.0,This game is ideal for playing it in the background while you listen or watch something that is not fully engaging. For that reason I really enjoyed it as it helped me relax. It was fun delving into dungeon and gathering ingridients to sell them as another minigame in your shop. Very good game.,"['game', 'ideal', 'playing', 'background', 'listen', 'watch', 'something', 'fully', 'engaging', 'reason', 'really', 'enjoyed', 'helped', 'relax', 'fun', 'delving', 'dungeon', 'gathering', 'ingridients', 'sell', 'another', 'minigame', 'shop', 'good', 'game']",game ideal playing background listen watch something fully engaging reason really enjoyed helped relax fun delving dungeon gathering ingridients sell another minigame shop good game,8.0,0.9341,Positive,,0.5106,,,,,0.5106,,,,,
Moonlighter,Digital Sun,"11 bit studios, Merge Games, Teyon",User,9.0,This is what you would get if Zelda games were still retro 2D games / market sellingSIM. Great fun building up character and shop,"['would', 'get', 'zelda', 'game', 'still', 'retro', 'game', 'market', 'sellingsim', 'great', 'fun', 'building', 'character', 'shop']",would get zelda game still retro game market sellingsim great fun building character shop,9.0,0.8126,Positive,,0.8126,,,0.8126,,0.8126,,0.8126,,,
Moonlighter,Digital Sun,"11 bit studios, Merge Games, Teyon",User,3.0,Literally horrible. No tutorial No walkthrough. You just start in a dungeon and it’s hard to beat the enemy. Then you start a shop but it doesn’t tell you anything on how to price them. Went back into the dungeon and kept dying. Changed to it the easiest setting and it’s still just unplayable. Not worth it.,"['literally', 'horrible', 'tutorial', 'walkthrough', 'start', 'dungeon', 'hard', 'beat', 'enemy', 'start', 'shop', 'tell', 'anything', 'price', 'went', 'back', 'dungeon', 'kept', 'dying', 'changed', 'easiest', 'setting', 'still', 'unplayable', 'worth']",literally horrible tutorial walkthrough start dungeon hard beat enemy start shop tell anything price went back dungeon kept dying changed easiest setting still unplayable worth,3.0,-0.4937,Negative,,-0.05930000000000002,-0.2997,,,,-0.2997,,-0.5267,,,-0.08475
7554,Emobi Games,"Emobi Games, Tradewest",Critic,65.0,"7554 Glorious Memories Revived is the first big game from Vietnam. Emboli Games has drawn attention to itself and showed that there are also other shooter games outside of America and Europe. While the look and the gameplay are mediocre, the level of difficulty and the survival mode are a welcome change. Emboli Games didn't reinvent the wheel with 7554, but it's nice that you can join Charlie once in a while.","['glorious', 'memory', 'revived', 'first', 'big', 'game', 'vietnam', 'embolus', 'game', 'drawn', 'attention', 'showed', 'also', 'shooter', 'game', 'outside', 'america', 'europe', 'look', 'gameplay', 'mediocre', 'level', 'difficulty', 'survival', 'mode', 'welcome', 'change', 'embolus', 'game', 'reinvent', 'wheel', 'nice', 'join', 'charlie']",glorious memory revived first big game vietnam embolus game drawn attention showed also shooter game outside america europe look gameplay mediocre level difficulty survival mode welcome change embolus game reinvent wheel nice join charlie,65.0,0.8555,Positive,,,,,0.1531,,0.07655,,,0.1531,,
7554,Emobi Games,"Emobi Games, Tradewest",Critic,30.0,In the stroke of mercy we could appreciate the efforts of Vietnamese developers but if you like Vietnam-era shooters you better grab some Nam-modificiation from any other FPS. [Sept 2012],"['stroke', 'mercy', 'could', 'appreciate', 'effort', 'vietnamese', 'developer', 'like', 'shooter', 'better', 'grab', 'fps', 'sept']",stroke mercy could appreciate effort vietnamese developer like shooter better grab fps sept,30.0,0.8658,Positive,,,,,,,0.8658,0.8658,,,,
7554,Emobi Games,"Emobi Games, Tradewest",Critic,40.0,"Nonetheless, keep your chin up, Emobi Games. The first step has been made. 7554 brought Vietnam on the map of games developers. The next step is an actually good game. And youll get there. Someday.","['nonetheless', 'keep', 'chin', 'emobi', 'game', 'first', 'step', 'made', 'brought', 'vietnam', 'map', 'game', 'developer', 'next', 'step', 'actually', 'good', 'game', 'youll', 'get', 'someday']",nonetheless keep chin emobi game first step made brought vietnam map game developer next step actually good game youll get someday,40.0,0.4404,Positive,,,,,,,0.0,,0.0,0.0,,
7554,Emobi Games,"Emobi Games, Tradewest",User,,This may be an unsuccessful game abroad 'But for Vietnamese people it is a pride and a priceless heritage'Vietnan 3A game,"['may', 'unsuccessful', 'game', 'abroad', 'vietnamese', 'people', 'pride', 'priceless', 'game']",may unsuccessful game abroad vietnamese people pride priceless game,,0.3291,Positive,,,,,,,0.3291,,,,,0.3291
7554,Emobi Games,"Emobi Games, Tradewest",User,,"Games that will only hype, without any merits, plagiarism and optimization garbage, disgusting fans have to step on other games without brains","['game', 'hype', 'without', 'merit', 'plagiarism', 'optimization', 'garbage', 'disgusting', 'fan', 'step', 'game', 'without', 'brain']",game hype without merit plagiarism optimization garbage disgusting fan step game without brain,,-0.4692,Negative,,,,,,,-0.4692,-0.4692,,,-0.4692,
7554,Emobi Games,"Emobi Games, Tradewest",User,,"Plagiarizing Call of Duty is filled with loopholes and often leads to inexplicable mission failures, which greatly affects the gaming experience. It is highly discouraged to purchase.","['plagiarizing', 'call', 'duty', 'filled', 'loophole', 'often', 'lead', 'inexplicable', 'mission', 'failure', 'greatly', 'affect', 'gaming', 'experience', 'highly', 'discouraged', 'purchase']",plagiarizing call duty filled loophole often lead inexplicable mission failure greatly affect gaming experience highly discouraged purchase,,-0.7178,Negative,,,,,,,-0.4588,-0.4588,,-0.4588,-0.4588,
Serious Sam II,Croteam,2K Games,Critic,90.0,"An absolute blast in every respect! It looks and sounds fantastic, the action is virtually non-stop and the combination of varied level designs and scenery, masses of different enemies and usage of vehicles and turrets keeps things feeling fresh and interesting from start to finish.","['absolute', 'blast', 'every', 'respect', 'look', 'sound', 'fantastic', 'action', 'virtually', 'combination', 'varied', 'level', 'design', 'scenery', 'mass', 'different', 'enemy', 'usage', 'vehicle', 'turret', 'keep', 'thing', 'feeling', 'fresh', 'interesting', 'start', 'finish']",absolute blast every respect look sound fantastic action virtually combination varied level design scenery mass different enemy usage vehicle turret keep thing feeling fresh interesting start finish,90.0,0.8955,Positive,,,0.8126,0.8126,,,0.8126,,,0.8126,,
Serious Sam II,Croteam,2K Games,Critic,80.0,"The bottom line is that this game is a lot of fun, does what it sets out to do with ease and I'm sure you'll find yourselves going back to this again and again if you get hold of it, especially if you can talk your mates into buying it too.","['bottom', 'line', 'game', 'lot', 'fun', 'set', 'ease', 'sure', 'find', 'going', 'back', 'get', 'hold', 'especially', 'talk', 'mate', 'buying']",bottom line game lot fun set ease sure find going back get hold especially talk mate buying,80.0,0.7964,Positive,,,,,,,,,,,,
Serious Sam II,Croteam,2K Games,Critic,70.0,"Few other FPS titles can match the intensity of this nitrous-charged shooting gallery, but plenty of them offer the kind of less that feels like much, much more. [Nov 2005, p.104]","['fps', 'title', 'match', 'intensity', 'shooting', 'gallery', 'plenty', 'offer', 'kind', 'less', 'feel', 'like', 'much', 'much', 'nov']",fps title match intensity shooting gallery plenty offer kind less feel like much much nov,70.0,0.4319,Positive,,,,,0.4319,,,0.4319,,,,
Serious Sam II,Croteam,2K Games,Critic,90.0,"An absolute blast in every respect! It looks and sounds fantastic, the action is virtually non-stop and the combination of varied level designs and scenery, masses of different enemies and usage of vehicles and turrets keeps things feeling fresh and interesting from start to finish.","['absolute', 'blast', 'every', 'respect', 'look', 'sound', 'fantastic', 'action', 'virtually', 'combination', 'varied', 'level', 'design', 'scenery', 'mass', 'different', 'enemy', 'usage', 'vehicle', 'turret', 'keep', 'thing', 'feeling', 'fresh', 'interesting', 'start', 'finish']",absolute blast every respect look sound fantastic action virtually combination varied level design scenery mass different enemy usage vehicle turret keep thing feeling fresh interesting start finish,90.0,0.8955,Positive,,,0.8126,0.8126,,,0.8126,,,0.8126,,
Serious Sam II,Croteam,2K Games,User,6.0,"Massively disappointing sequel, completely changing to an ugly visual style, boring gameplay, boring enemies, even the story is not as good as it used to. Only play it if you are a fan of SS.","['massively', 'disappointing', 'sequel', 'completely', 'changing', 'ugly', 'visual', 'style', 'boring', 'gameplay', 'boring', 'enemy', 'even', 'story', 'good', 'used', 'play', 'fan']",massively disappointing sequel completely changing ugly visual style boring gameplay boring enemy even story good used play fan,6.0,-0.9393,Negative,-0.951,,-0.951,,-0.951,,,,,,,
Serious Sam II,Croteam,2K Games,User,2.0,"Un moteur 3D pas trop mal et une maniabilité sans reproche mais des décors de dessin animé gnan-gnan, des ennemis stupides et un caractère lancinant très marqué. Faut être complètement pété pour jouer plus d'un quart d'heure d'affilée à un truc pareil.","['un', 'moteur', 'pa', 'trop', 'mal', 'et', 'une', 'maniabilité', 'sans', 'reproche', 'mais', 'de', 'décors', 'de', 'dessin', 'animé', 'de', 'ennemis', 'stupides', 'et', 'un', 'caractère', 'lancinant', 'très', 'marqué', 'faut', 'être', 'complètement', 'pété', 'pour', 'jouer', 'plus', 'quart', 'à', 'un', 'truc', 'pareil']",un moteur pa trop mal et une maniabilité sans reproche mais de décors de dessin animé de ennemis stupides et un caractère lancinant très marqué faut être complètement pété pour jouer plus quart à un truc pareil,2.0,0.0,Neutral,,,0.0,,,,0.0,,,,,
Freedom: First Resistance,Red Storm Entertainment,Red Storm Entertainment,Critic,20.0,Your best bet? Leave this game at the store and pick up a VHS copy of the 'V' miniseries if you really need a cheesy alien invasion fix.,"['best', 'bet', 'leave', 'game', 'store', 'pick', 'vhs', 'copy', 'v', 'miniseries', 'really', 'need', 'cheesy', 'alien', 'invasion', 'fix']",best bet leave game store pick vhs copy v miniseries really need cheesy alien invasion fix,20.0,0.6124,Positive,,,,,,,-0.0516,,,,,
Freedom: First Resistance,Red Storm Entertainment,Red Storm Entertainment,Critic,38.0,"For a game that puts so much emphasis on its pedigree as a set of novels, there's precious little storytelling in F:FR. Instead, there is a lot of wandering around hunting for keys, occasional bouts of combat, reams of pointless dialogue, and a general sense that the Rainbow Six/Rogue Spear engine surely could have been put to better use.","['game', 'put', 'much', 'emphasis', 'pedigree', 'set', 'novel', 'precious', 'little', 'storytelling', 'f', 'fr', 'instead', 'lot', 'wandering', 'around', 'hunting', 'key', 'occasional', 'bout', 'combat', 'ream', 'pointless', 'dialogue', 'general', 'sense', 'rainbow', 'spear', 'engine', 'surely', 'could', 'put', 'better', 'use']",game put much emphasis pedigree set novel precious little storytelling f fr instead lot wandering around hunting key occasional bout combat ream pointless dialogue general sense rainbow spear engine surely could put better use,38.0,0.8591,Positive,0.6361,,,0.7003,0.7003,,,,,,,
Freedom: First Resistance,Red Storm Entertainment,Red Storm Entertainment,Critic,69.0,"If you're a fan of McCaffrey's writing then take a look at this one -- you'll probably enjoy it. But if you're a real adventure aficionado you'll undoubtedly find the game too easy for your tastes, better to give this one a miss than be disappointed.","['fan', 'mccaffrey', 'writing', 'take', 'look', 'one', 'probably', 'enjoy', 'real', 'adventure', 'aficionado', 'undoubtedly', 'find', 'game', 'easy', 'taste', 'better', 'give', 'one', 'miss', 'disappointed']",fan mccaffrey writing take look one probably enjoy real adventure aficionado undoubtedly find game easy taste better give one miss disappointed,69.0,0.6597,Positive,0.6705,,,,,,0.3919,,,,,
Freedom: First Resistance,Red Storm Entertainment,Red Storm Entertainment,Critic,75.0,"This time however, there was a certain good feeling that prevailed throughout the whole game. A possibility exists that the music helped conquer my heart.","['time', 'however', 'certain', 'good', 'feeling', 'prevailed', 'throughout', 'whole', 'game', 'possibility', 'exists', 'music', 'helped', 'conquer', 'heart']",time however certain good feeling prevailed throughout whole game possibility exists music helped conquer heart,75.0,0.6705,Positive,,,0.0,0.0,,,,,,,,
Freedom: First Resistance,Red Storm Entertainment,Red Storm Entertainment,Critic,69.0,"If you're a fan of McCaffrey's writing then take a look at this one -- you'll probably enjoy it. But if you're a real adventure aficionado you'll undoubtedly find the game too easy for your tastes, better to give this one a miss than be disappointed.","['fan', 'mccaffrey', 'writing', 'take', 'look', 'one', 'probably', 'enjoy', 'real', 'adventure', 'aficionado', 'undoubtedly', 'find', 'game', 'easy', 'taste', 'better', 'give', 'one', 'miss', 'disappointed']",fan mccaffrey writing take look one probably enjoy real adventure aficionado undoubtedly find game easy taste better give one miss disappointed,69.0,0.6597,Positive,0.6705,,,,,,0.3919,,,,,
Freedom: First Resistance,Red Storm Entertainment,Red Storm Entertainment,User,6.0,"Reviewers hammered this game but I still enjoyed playing it. Interesting story, interesting characters, large open levels. Played all the way to the end so I must have had fun, but honestly can't give it more than a 6.","['reviewer', 'hammered', 'game', 'still', 'enjoyed', 'playing', 'interesting', 'story', 'interesting', 'character', 'large', 'open', 'level', 'played', 'way', 'end', 'must', 'fun', 'honestly', 'ca', 'give']",reviewer hammered game still enjoyed playing interesting story interesting character large open level played way end must fun honestly ca give,6.0,0.9578,Positive,0.4588,0.4588,,,,,0.4588,,,0.4588,,
MindsEye,Build a Rocket Boy,IOI Partners,Critic,-1.0,"MindsEye isn’t ruined by bugs, but its outdated ideas and poor gameplay hold it back. At least its cinematics provide an interesting visual glimpse. [No Recommended]","['ruined', 'bug', 'outdated', 'idea', 'poor', 'gameplay', 'hold', 'back', 'least', 'cinematics', 'provide', 'interesting', 'visual', 'glimpse', 'recommended']",ruined bug outdated idea poor gameplay hold back least cinematics provide interesting visual glimpse recommended,-1.0,-0.5719,Negative,,,0.25,,-0.7351,,,-0.7351,-0.7351,,,
MindsEye,Build a Rocket Boy,IOI Partners,Critic,30.0,"Its world feels considered. There are decent performances from its cast among the graphical artefacts, and zippy pacing that respects your time and conjures a sense of playing the Schwarzenegger role that never was. But it's been released in a technical state that makes it impossible to enjoy its ideas, with core components of its action left underdeveloped. For the player, that's frustrating. For those who made it, surely, it's heartbreaking. [Issue413, p.112]","['world', 'feel', 'considered', 'decent', 'performance', 'cast', 'among', 'graphical', 'artefact', 'zippy', 'pacing', 'respect', 'time', 'conjures', 'sense', 'playing', 'schwarzenegger', 'role', 'never', 'released', 'technical', 'state', 'make', 'impossible', 'enjoy', 'idea', 'core', 'component', 'action', 'left', 'underdeveloped', 'player', 'frustrating', 'made', 'surely', 'heartbreaking']",world feel considered decent performance cast among graphical artefact zippy pacing respect time conjures sense playing schwarzenegger role never released technical state make impossible enjoy idea core component action left underdeveloped player frustrating made surely heartbreaking,30.0,0.2382,Positive,0.3182,0.1591,0.1462,,,,0.6486,0.3182,,,,
MindsEye,Build a Rocket Boy,IOI Partners,Critic,40.0,"MindsEye offers an original narrative and a powerful level creator tool within a dystopian open world, but it suffers from repetitive, uninspired gameplay and poor technical performance, especially on mid-range PCs and Steam Deck. Despite well-crafted cutscenes and a promising concept, the lack of polish, outdated design choices, and insufficient support for the creation system greatly limit its appeal.","['offer', 'original', 'narrative', 'powerful', 'level', 'creator', 'tool', 'within', 'dystopian', 'open', 'world', 'suffers', 'repetitive', 'uninspired', 'gameplay', 'poor', 'technical', 'performance', 'especially', 'pc', 'steam', 'deck', 'despite', 'cutscenes', 'promising', 'concept', 'lack', 'polish', 'outdated', 'design', 'choice', 'insufficient', 'support', 'creation', 'system', 'greatly', 'limit', 'appeal']",offer original narrative powerful level creator tool within dystopian open world suffers repetitive uninspired gameplay poor technical performance especially pc steam deck despite cutscenes promising concept lack polish outdated design choice insufficient support creation system greatly limit appeal,40.0,-0.6908,Negative,-0.13655,-0.91,,,-0.13655,,-0.91,-0.91,,-0.91,,
MindsEye,Build a Rocket Boy,IOI Partners,User,6.0,"MindsEye almost has it all: big action set-pieces, attacking drones, car chases, drama, and a huge amount of Arcadia content. It’s the kind of game you can sink hours into, go to sleep, and jump straight back into the next day. The problem is the bugs and glitches – they break immersion and drag the experience down. I genuinely like this game and the potential is huge, but in its current state, it doesn’t quite add up. I’m sticking with a 6/10 for now, and I’ll revisit and adjust my review if future updates clean things up.","['almost', 'big', 'action', 'attacking', 'drone', 'car', 'chase', 'drama', 'huge', 'amount', 'arcadia', 'content', 'kind', 'game', 'sink', 'hour', 'go', 'sleep', 'jump', 'straight', 'back', 'next', 'day', 'problem', 'bug', 'glitch', 'break', 'immersion', 'drag', 'experience', 'genuinely', 'like', 'game', 'potential', 'huge', 'current', 'state', 'quite', 'add', 'sticking', 'revisit', 'adjust', 'review', 'future', 'update', 'clean', 'thing']",almost big action attacking drone car chase drama huge amount arcadia content kind game sink hour go sleep jump straight back next day problem bug glitch break immersion drag experience genuinely like game potential huge current state quite add sticking revisit adjust review future update clean thing,6.0,0.5789,Positive,,-0.5574,,-0.1779,0.2263,,,-0.5574,0.34,0.0242,,
